2025-04-18 11:33:30 -X1=0.040m, Y1=-0.037m, Z1=0.285m, A1=19.0 deg
2025-04-18 11:48:18 -X1=0.039m, Y1=-0.036m, Z1=0.285m, A1=19.0 deg
2025-04-20 10:10:08 -X1=0.040m, Y1=-0.036m, Z1=0.285m, A1=19.2 deg
2025-04-20 10:14:29 -X1=0.040m, Y1=-0.036m, Z1=0.285m, A1=19.2 deg
2025-04-20 10:17:27 -X1=0.039m, Y1=-0.036m, Z1=0.285m, A1=19.0 deg
2025-04-20 10:17:51 -X1=0.040m, Y1=-0.036m, Z1=0.285m, A1=19.2 deg
2025-04-20 10:24:10 -X1=0.0400m, Y1=-0.0364m, Z1=0.2840m, A1=19.18 deg
2025-04-20 10:33:05 -X1=0.0395m, Y1=-0.0362m, Z1=0.2850m, A1=19.18 deg
2025-04-20 10:33:38 -X1=0.0395m, Y1=-0.0362m, Z1=0.2850m, A1=19.18 deg
2025-04-20 10:38:40 -X1=0.0394m, Y1=-0.0363m, Z1=0.2850m, A1=19.03 deg
2025-04-20 10:39:32 -X1=0.0399m, Y1=-0.0362m, Z1=0.2850m, A1=19.05 deg
2025-04-20 10:39:59 -X1=0.0396m, Y1=-0.0368m, Z1=0.2850m, A1=19.01 deg
2025-04-20 10:40:23 -X1=0.0400m, Y1=-0.0364m, Z1=0.2840m, A1=19.18 deg
2025-04-20 10:42:57 -X1=0.0398m, Y1=-0.0359m, Z1=0.2840m, A1=19.18 deg
2025-04-20 10:43:18 -X1=0.0396m, Y1=-0.0368m, Z1=0.2850m, A1=19.03 deg
2025-04-20 10:44:22 -X1=0.0396m, Y1=-0.0368m, Z1=0.2850m, A1=19.03 deg
2025-04-20 10:44:48 -X1=0.0399m, Y1=-0.0364m, Z1=0.2840m, A1=19.09 deg
2025-04-20 10:58:18 -X1=0.0396m, Y1=-0.0368m, Z1=0.2850m, A1=19.05 deg
2025-04-20 10:59:12 -X1=0.0393m, Y1=-0.0362m, Z1=0.2840m, A1=19.03 deg
2025-04-20 11:00:02 -X1=0.0395m, Y1=-0.0362m, Z1=0.2850m, A1=19.18 deg
2025-04-20 11:10:15 -X1=0.0381m, Y1=-0.0368m, Z1=0.2850m, A1=19.03 deg
2025-04-20 11:13:13 -X1=0.0385m, Y1=-0.0366m, Z1=0.2850m, A1=19.03 deg
2025-04-20 11:16:09 -X1=0.0385m, Y1=-0.0366m, Z1=0.2850m, A1=19.03 deg
2025-04-20 11:17:45 -X1=0.0381m, Y1=-0.0368m, Z1=0.2850m, A1=19.01 deg
2025-04-20 11:33:10 -X1=0.0380m, Y1=-0.0369m, Z1=0.2850m, A1=18.83 deg
2025-04-20 11:33:34 -X1=0.0381m, Y1=-0.0368m, Z1=0.2850m, A1=19.03 deg
2025-04-20 11:35:55 -X1=0.0378m, Y1=-0.0370m, Z1=0.2850m, A1=18.65 deg
2025-04-20 11:37:57 -X1=0.0381m, Y1=-0.0368m, Z1=0.2850m, A1=19.03 deg
2025-04-20 11:39:50 -X1=0.0381m, Y1=-0.0368m, Z1=0.2850m, A1=19.01 deg
2025-04-20 11:56:55 -X1=0.0381m, Y1=-0.0368m, Z1=0.2850m, A1=19.01 deg
2025-04-20 12:04:53 -X1=0.0381m, Y1=-0.0368m, Z1=0.2850m, A1=19.01 deg
2025-04-20 12:22:41 -X1=0.0387m, Y1=-0.0371m, Z1=0.2850m, A1=19.01 deg
2025-04-20 12:24:07 -X1=0.0387m, Y1=-0.0371m, Z1=0.2850m, A1=19.03 deg
2025-04-20 13:23:18 -X1=0.0399m, Y1=0.0358m, Z1=0.2900m, A1=18.82 deg
2025-04-20 14:54:45 -X1=0.0411m, Y1=0.0376m, Z1=0.2910m, A1=18.66 deg
2025-04-21 08:50:22 -X1=0.0426m, Y1=0.0774m, Z1=0.2930m, A1=18.43 deg
2025-04-21 08:51:01 -X1=0.0435m, Y1=0.0784m, Z1=0.2940m, A1=18.43 deg
2025-04-21 09:00:47 -X1=0.0402m, Y1=-0.0445m, Z1=0.2870m, A1=18.83 deg
2025-04-21 09:43:04 -X1=0.0395m, Y1=-0.0444m, Z1=0.2860m, A1=19.20 deg
2025-04-21 10:10:55 -X1=0.0391m, Y1=-0.0249m, Z1=0.2870m, A1=18.85 deg
2025-04-22 14:16:57 -X1=-0.0085m, Y1=0.0097m, Z1=0.2880m, A1=24.04 deg
2025-04-22 14:22:47 -X1=-0.0078m, Y1=0.0089m, Z1=0.2880m, A1=25.11 deg
2025-04-22 14:47:19 -X1=0.0062m, Y1=-0.0715m, Z1=0.2810m, A1=16.93 deg
2025-04-22 14:53:04 -X1=0.0055m, Y1=-0.0697m, Z1=0.2840m, A1=17.28 deg
